date,home_team,away_team,tournament,weight,rank_diff,home_form,away_form,h2h,result,result_encoded
1/19/2000,Togo,Egypt,Friendly,1,49,0,0.5,0.5,home_win,2
1/22/2000,Ghana,Cameroon,African Cup of Nations,4,-7,1,0,0.5,draw,1
1/23/2000,New Zealand,Korea Republic,Friendly,1,48,0,1,0.5,draw,1
1/24/2000,Côte d'Ivoire,Togo,African Cup of Nations,4,-38,1,0.333333333,0.5,draw,1
1/25/2000,Burkina Faso,Senegal,African Cup of Nations,4,-5,0.333333333,0,0.5,away_win,0
1/26/2000,China PR,Guam,AFC Asian Cup qualification,3,-112,1,0,0.5,home_win,2
1/26/2000,Guatemala,Panama,Friendly,1,-66,0,1,0.5,draw,1
1/26/2000,Vietnam,Philippines,AFC Asian Cup qualification,3,-79,1,0,0.5,home_win,2
1/27/2000,Ghana,Togo,African Cup of Nations,4,-37,0.5,0.25,0.5,home_win,2
1/27/2000,South Africa,Congo DR,African Cup of Nations,4,-28,1,0,0.5,home_win,2
1/28/2000,Cameroon,Côte d'Ivoire,African Cup of Nations,4,8,0,0.5,0.5,home_win,2
1/28/2000,Egypt,Senegal,African Cup of Nations,4,-41,0.5,0.5,0.5,home_win,2
1/28/2000,Nigeria,Congo,African Cup of Nations,4,-18,1,0,0.5,draw,1
1/29/2000,Algeria,Gabon,African Cup of Nations,4,14,0,0,0.5,home_win,2
1/29/2000,Philippines,Guam,AFC Asian Cup qualification,3,-19,0,0,0.5,home_win,2
1/29/2000,Tunisia,Morocco,African Cup of Nations,4,3,0.333333333,1,0.5,draw,1
1/29/2000,Vietnam,China PR,AFC Asian Cup qualification,3,14,1,1,0.5,away_win,0
1/29/2000,Zambia,Burkina Faso,African Cup of Nations,4,-38,0,0.25,0.5,draw,1
1/30/2000,US Virgin Islands,St Lucia,Friendly,1,56,0,1,0.5,away_win,0
1/31/2000,Cameroon,Togo,African Cup of Nations,4,-30,0.25,0.2,0.5,away_win,0
1/31/2000,Ghana,Côte d'Ivoire,African Cup of Nations,4,1,0.666666667,0.333333333,0.5,away_win,0
2/1/2000,Egypt,Burkina Faso,African Cup of Nations,4,-36,0.6,0.2,0.5,home_win,2
2/1/2000,Zambia,Senegal,African Cup of Nations,4,-43,0,0.333333333,0.5,draw,1
2/2/2000,Congo DR,Gabon,African Cup of Nations,4,-13,0,0,0.5,draw,1
2/2/2000,Costa Rica,Chile,Friendly,1,41,1,0,0.5,home_win,2
2/2/2000,Finland,Iceland,Nordic Championship,1,12,1,0,0.5,away_win,0
2/2/2000,South Africa,Algeria,African Cup of Nations,4,-55,1,0.333333333,0.5,draw,1
2/3/2000,Nigeria,Morocco,African Cup of Nations,4,51,0.5,0.666666667,0.5,home_win,2
2/3/2000,Tunisia,Congo,African Cup of Nations,4,-66,0.25,0,0.5,home_win,2
2/4/2000,Cyprus,Armenia,Cyprus International Tournament,1,-22,1,0.5,0.5,home_win,2
2/4/2000,Faroe Islands,Iceland,Nordic Championship,1,68,0,0.5,0.5,away_win,0
2/4/2000,Kuwait,IR Iran,Friendly,1,39,1,0,0.5,draw,1
2/4/2000,Moldova,Lithuania,Cyprus International Tournament,1,42,0,0,0.5,home_win,2
2/5/2000,Guatemala,Chile,Friendly,1,50,0,0,0.5,home_win,2
2/6/2000,Cameroon,Algeria,African Cup of Nations,4,-29,0.2,0.25,0.5,home_win,2
2/6/2000,Cyprus,Romania,Cyprus International Tournament,1,55,1,0.5,0.5,home_win,2
2/6/2000,Georgia,Armenia,Cyprus International Tournament,1,-19,0,0.333333333,0.5,home_win,2
2/6/2000,Ghana,South Africa,African Cup of Nations,4,19,0.5,0.666666667,0.5,away_win,0
2/6/2000,Latvia,Lithuania,Cyprus International Tournament,1,11,0,0,0.5,away_win,0
2/7/2000,Egypt,Tunisia,African Cup of Nations,4,10,0.666666667,0.4,0.5,away_win,0
2/7/2000,Nigeria,Senegal,African Cup of Nations,4,-3,0.666666667,0.25,0.5,home_win,2
