date,group,team_a,team_b,score_a,score_b,actual_result,predicted_result,prob_home_win,prob_draw,prob_away_win,rank_a,rank_b,rank_diff,form_a,form_b,correct
Jun 11,A,Mexico,South Africa,2,0,home_win,home_win,57.2,26.9,15.9,15,59,-44.0,0.8,0.3,True
Jun 11,A,Korea Republic,Czechia,2,1,home_win,draw,34.8,38.7,26.5,22,34,-12.0,0.6,0.5,False
Jun 12,B,Canada,Bosnia and Herzegovina,1,1,draw,home_win,39.8,32.9,27.4,48,75,-27.0,0.3,0.2,False
Jun 12,B,Switzerland,Qatar,1,1,draw,away_win,30.8,34.0,35.2,19,35,-16.0,0.4,0.1,False
Jun 12,D,USA,Paraguay,4,1,home_win,home_win,52.5,30.9,16.6,11,58,-47.0,0.6,0.4,True
Jun 12,D,Australia,Türkiye,2,0,home_win,home_win,38.0,34.7,27.2,23,41,-18.0,0.5,0.7,True
Jun 13,C,Brazil,Morocco,1,1,draw,away_win,25.4,37.0,37.6,4,12,-8.0,0.5,0.6,False
Jun 13,C,Scotland,Haiti,1,0,home_win,home_win,56.0,29.5,14.5,39,86,-47.0,0.7,0.4,True
Jun 13,E,Germany,Curaçao,7,1,home_win,home_win,60.8,30.6,8.5,16,88,-72.0,1.0,0.4,True
Jun 13,E,Côte d'Ivoire,Ecuador,1,0,home_win,draw,34.9,35.6,29.6,37,30,7.0,0.8,0.4,False
Jun 14,F,Netherlands,Japan,2,2,draw,draw,31.1,37.3,31.7,7,17,-10.0,0.6,0.6,True
Jun 14,F,Sweden,Tunisia,5,1,home_win,draw,35.0,37.7,27.3,28,41,-13.0,0.3,0.3,False
Jun 14,G,Belgium,Egypt,1,1,draw,home_win,42.8,35.1,22.1,3,36,-33.0,0.6,0.4,False
Jun 14,G,IR Iran,New Zealand,2,2,draw,home_win,72.0,20.1,8.0,20,107,-87.0,0.5,0.1,False
Jun 15,H,Spain,Cabo Verde,0,0,draw,home_win,50.7,32.5,16.8,8,65,-57.0,0.6,0.3,False
Jun 15,H,Saudi Arabia,Uruguay,1,1,draw,away_win,17.7,32.4,49.8,56,14,42.0,0.3,0.4,False
Jun 15,I,France,Senegal,3,1,home_win,home_win,36.1,34.5,29.4,2,18,-16.0,0.8,0.6,True
Jun 15,I,Norway,Iraq,4,1,home_win,home_win,39.8,38.0,22.2,46,55,-9.0,0.6,0.5,True
Jun 16,J,Argentina,Algeria,3,0,home_win,home_win,54.0,27.3,18.7,1,44,-43.0,0.9,0.7,True
Jun 16,J,Austria,Jordan,3,1,home_win,home_win,55.2,29.7,15.2,25,68,-43.0,0.8,0.4,True
Jun 16,K,Portugal,Congo DR,1,1,draw,home_win,50.3,32.6,17.1,6,61,-55.0,0.6,0.4,False
Jun 16,K,Colombia,Uzbekistan,3,1,home_win,home_win,58.8,28.8,12.5,12,62,-50.0,0.7,0.3,True
Jun 16,L,England,Croatia,4,2,home_win,home_win,36.6,32.8,30.5,5,9,-4.0,0.8,0.6,True
