date,group,team_a,team_b,score_a,score_b,actual_result,predicted_result,prob_home_win,prob_draw,prob_away_win,rank_a,rank_b,rank_diff,form_a,form_b,correct,match,final_score,model_confidence,correct_int,abs_rank_diff,upset,actual_result_label,pred_result_label,rank_gap
11-Jun,A,Mexico,South Africa,2,0,home_win,home_win,57.2,26.9,15.9,15,59,-44,0.8,0.3,TRUE,Mexico vs South Africa,2 - 0,57.2,1,44,0,Home Win,Home Win,Large (31-60)
11-Jun,A,Korea Republic,Czechia,2,1,home_win,draw,34.8,38.7,26.5,22,34,-12,0.6,0.5,FALSE,Korea Republic vs Czechia,2 - 1,38.7,0,12,0,Home Win,Draw,Medium (11-20)
12-Jun,B,Canada,Bosnia and Herzegovina,1,1,draw,home_win,39.8,32.9,27.4,48,75,-27,0.3,0.2,FALSE,Canada vs Bosnia and Herzegovina,1 - 1,39.8,0,27,0,Draw,Home Win,Moderate (21-30)
12-Jun,B,Switzerland,Qatar,1,1,draw,away_win,30.8,34,35.2,19,35,-16,0.4,0.1,FALSE,Switzerland vs Qatar,1 - 1,34,0,16,0,Draw,Away Win,Medium (11-20)
12-Jun,D,USA,Paraguay,4,1,home_win,home_win,52.5,30.9,16.6,11,58,-47,0.6,0.4,TRUE,USA vs Paraguay,4 - 1,52.5,1,47,0,Home Win,Home Win,Large (31-60)
12-Jun,D,Australia,Türkiye,2,0,home_win,home_win,38,34.7,27.2,23,41,-18,0.5,0.7,TRUE,Australia vs Türkiye,2 - 0,38,1,18,0,Home Win,Home Win,Medium (11-20)
13-Jun,C,Brazil,Morocco,1,1,draw,away_win,25.4,37,37.6,4,12,-8,0.5,0.6,FALSE,Brazil vs Morocco,1 - 1,37,0,8,0,Draw,Away Win,Close (0-10)
13-Jun,C,Scotland,Haiti,1,0,home_win,home_win,56,29.5,14.5,39,86,-47,0.7,0.4,TRUE,Scotland vs Haiti,1 - 0,56,1,47,0,Home Win,Home Win,Large (31-60)
13-Jun,E,Germany,Curaçao,7,1,home_win,home_win,60.8,30.6,8.5,16,88,-72,1,0.4,TRUE,Germany vs Curaçao,7 - 1,60.8,1,72,0,Home Win,Home Win,Huge (60+
13-Jun,E,Côte d'Ivoire,Ecuador,1,0,home_win,draw,34.9,35.6,29.6,37,30,7,0.8,0.4,FALSE,Côte d'Ivoire vs Ecuador,1 - 0,35.6,0,7,0,Home Win,Draw,Close (0-10)
14-Jun,F,Netherlands,Japan,2,2,draw,draw,31.1,37.3,31.7,7,17,-10,0.6,0.6,TRUE,Netherlands vs Japan,2 - 2,37.3,1,10,0,Draw,Draw,Close (0-10)
14-Jun,F,Sweden,Tunisia,5,1,home_win,draw,35,37.7,27.3,28,41,-13,0.3,0.3,FALSE,Sweden vs Tunisia,5 - 1,37.7,0,13,0,Home Win,Draw,Medium (11-20)
14-Jun,G,Belgium,Egypt,1,1,draw,home_win,42.8,35.1,22.1,3,36,-33,0.6,0.4,FALSE,Belgium vs Egypt,1 - 1,42.8,0,33,0,Draw,Home Win,Large (31-60)
14-Jun,G,IR Iran,New Zealand,2,2,draw,home_win,72,20.1,8,20,107,-87,0.5,0.1,FALSE,IR Iran vs New Zealand,2 - 2,72,0,87,1,Draw,Home Win,Huge (60+
